n_comp,encoded_size,lr,sigma,mean_val_acc,total_params,time
256,128,0.0005,1.0,0.858535369237264,269441.0,61.92617201805115
256,128,0.001,0.5,0.858535369237264,269441.0,70.74005389213562
512,128,0.001,0.5,0.8576262791951498,305025.0,93.55762529373169
256,64,0.001,0.5,0.857424259185791,236609.0,76.76435089111328
256,128,0.0005,0.5,0.8568687041600546,269441.0,69.73896908760071
512,64,0.0005,1.0,0.8561111291249593,255809.0,93.38143754005432
512,128,0.001,1.0,0.8535858790079752,305025.0,106.0718560218811
256,64,0.0005,1.0,0.8533333539962769,236609.0,61.95858860015869
512,64,0.0005,0.5,0.8530808289845785,255809.0,90.53089356422424
512,128,0.0005,0.5,0.8525252540906271,305025.0,93.15398859977722
256,64,0.001,1.0,0.8524242639541626,236609.0,67.74651145935059
256,128,0.001,1.0,0.8516161640485128,269441.0,68.52497243881226
512,64,0.001,1.0,0.8507575988769531,255809.0,93.2207522392273
256,64,0.0005,0.5,0.8498485088348389,236609.0,65.1645975112915
512,128,0.0005,1.0,0.8494444489479065,305025.0,100.99910259246826
512,64,0.001,0.5,0.8491919239362081,255809.0,106.71208095550537
